Te,ne,728/706,728/668
4.226978079673295e-01, 2.118507450354571e+19, 4.907037609993024e-02, 2.738990224196248e-01
4.226978079673295e-01, 2.377004454874053e+19, 4.841276078788645e-02, 2.551457318738389e-01
4.226978079673295e-01, 2.667042864326648e+19, 4.794012675434486e-02, 2.379592523790592e-01
4.226978079673295e-01, 2.992471312188848e+19, 4.765171515696832e-02, 2.222840962801244e-01
4.226978079673295e-01, 3.357608036245132e+19, 4.754625184697773e-02, 2.080491828407217e-01
4.226978079673295e-01, 3.767298178979589e+19, 4.762189597018274e-02, 1.951719818032633e-01
4.226978079673295e-01, 4.226978079673322e+19, 4.787616862662210e-02, 1.835624148778618e-01
4.226978079673295e-01, 4.742747411323311e+19, 4.830586506260427e-02, 1.731263452958350e-01
4.226978079673295e-01, 5.321450119597585e+19, 4.890695486332248e-02, 1.637685507894963e-01
4.226978079673295e-01, 5.970765237835940e+19, 4.967447603821334e-02, 1.553951352849364e-01
4.226978079673295e-01, 6.699308783156532e+19, 5.060243057222668e-02, 1.479153838652930e-01
4.226978079673295e-01, 7.516748085768934e+19, 5.168369067247257e-02, 1.412431016579759e-01
4.226978079673295e-01, 8.433930068571646e+19, 5.290992622559462e-02, 1.352975001127536e-01
4.226978079673295e-01, 9.463025179229549e+19, 5.427156454174878e-02, 1.300037052557647e-01
4.226978079673295e-01, 1.061768888461980e+20, 5.575779299121612e-02, 1.252929644334005e-01
4.226978079673295e-01, 1.191324287058017e+20, 5.735661344254677e-02, 1.211026235585035e-01
4.226978079673295e-01, 1.336687835137238e+20, 5.905495444764908e-02, 1.173759384853716e-01
4.226978079673295e-01, 1.499788418664912e+20, 6.083884304049814e-02, 1.140617739423150e-01
4.226978079673295e-01, 1.682790283290380e+20, 6.269363316815250e-02, 1.111142329535598e-01
4.226978079673295e-01, 1.888121752571853e+20, 6.460428266611505e-02, 1.084922498677364e-01
4.742747411323311e-01, 2.118507450354571e+18, 9.543638654301614e-02, 7.801116223635630e-01
4.742747411323311e-01, 2.377004454874053e+18, 9.216351490864162e-02, 7.531981250862557e-01
4.742747411323311e-01, 2.667042864326648e+18, 8.889304676817823e-02, 7.254356231514566e-01
4.742747411323311e-01, 2.992471312188848e+18, 8.564690304404519e-02, 6.969339850930850e-01
4.742747411323311e-01, 3.357608036245132e+18, 8.244645102175309e-02, 6.678184732159262e-01
4.742747411323311e-01, 3.767298178979589e+18, 7.931204979226657e-02, 6.382292044666954e-01
4.742747411323311e-01, 4.226978079673322e+18, 7.626267191229417e-02, 6.083200591418724e-01
4.742747411323311e-01, 4.742747411323311e+18, 7.331561789858158e-02, 5.782569332742733e-01
4.742747411323311e-01, 5.321450119597585e+18, 7.048633171072595e-02, 5.482152664860186e-01
4.742747411323311e-01, 5.970765237835940e+18, 6.778831674284862e-02, 5.183768333991551e-01
4.742747411323311e-01, 6.699308783156532e+18, 6.523314400917263e-02, 4.889258587101492e-01
4.742747411323311e-01, 7.516748085768933e+18, 6.283053795488105e-02, 4.600445953404070e-01
