Te,ne,728/706,728/668
2.063443866905989e-01, 1.394144314528344e+18, 8.526565974963227e-02, 1.852371897323424e+00
2.063443866905989e-01, 1.433367924668255e+18, 8.487134974029670e-02, 1.845556449386575e+00
2.063443866905989e-01, 1.473695073069157e+18, 8.447145446183713e-02, 1.838585103906506e+00
2.063443866905989e-01, 1.515156807273287e+18, 8.406602502008223e-02, 1.831455247964911e+00
2.063443866905989e-01, 1.557785048331263e+18, 8.365511857386680e-02, 1.824164311863097e+00
2.063443866905989e-01, 1.601612615377806e+18, 8.323879842106753e-02, 1.816709776128232e+00
2.063443866905989e-01, 1.646673250898882e+18, 8.281713407447913e-02, 1.809089178761652e+00
2.063443866905989e-01, 1.693001646709849e+18, 8.239020132696466e-02, 1.801300122716745e+00
2.063443866905989e-01, 1.740633470664359e+18, 8.195808230533783e-02, 1.793340283592286e+00
2.063443866905989e-01, 1.789605394114707e+18, 8.152086551245835e-02, 1.785207417525364e+00
2.063443866905989e-01, 1.839955120144890e+18, 8.107864585704397e-02, 1.776899369266318e+00
2.063443866905989e-01, 1.891721412597859e+18, 8.063152467074229e-02, 1.768414080416420e+00
2.063443866905989e-01, 1.944944125919445e+18, 8.017960971203271e-02, 1.759749597807301e+00
2.063443866905989e-01, 1.999664235842057e+18, 7.972301515657115e-02, 1.750904081999388e+00
2.063443866905989e-01, 2.055923870931522e+18, 7.926186157363151e-02, 1.741875815874989e+00
2.063443866905989e-01, 2.113766345021471e+18, 7.879627588834459e-02, 1.732663213299987e+00
2.063443866905989e-01, 2.173236190560408e+18, 7.832639132947818e-02, 1.723264827826459e+00
2.063443866905989e-01, 2.234379192896828e+18, 7.785234736256409e-02, 1.713679361407093e+00
2.063443866905989e-01, 2.297242425528928e+18, 7.737428960822181e-02, 1.703905673090728e+00
2.063443866905989e-01, 2.361874286346218e+18, 7.689236974559206e-02, 1.693942787666923e+00
2.063443866905989e-01, 2.428324534890606e+18, 7.640674540085209e-02, 1.683789904226268e+00
2.063443866905989e-01, 2.496644330665804e+18, 7.591758002084596e-02, 1.673446404601902e+00
2.063443866905989e-01, 2.566886272524754e+18, 7.542504273192223e-02, 1.662911861656581e+00
2.063443866905989e-01, 2.639104439164887e+18, 7.492930818414635e-02, 1.652186047378873e+00
2.063443866905989e-01, 2.713354430763019e+18, 7.443055638110585e-02, 1.641268940751044e+00
2.063443866905989e-01, 2.789693411781414e+18, 7.392897249560587e-02, 1.630160735350828e+00
2.063443866905989e-01, 2.868180154978163e+18, 7.342474667161129e-02, 1.618861846648592e+00
2.063443866905989e-01, 2.948875086655989e+18, 7.291807381285464e-02, 1.607372918961264e+00
2.063443866905989e-01, 3.031840333183898e+18, 7.240915335860264e-02, 1.595694832024294e+00
2.063443866905989e-01, 3.117139768827687e+18, 7.189818904712804e-02, 1.583828707143002e+00
2.063443866905989e-01, 3.204839064926366e+18, 7.138538866749801e-02, 1.571775912884993e+00
2.063443866905989e-01, 3.295005740451917e+18, 7.087096380035150e-02, 1.559538070275958e+00
2.063443866905989e-01, 3.387709213991513e+18, 7.035512954839131e-02, 1.547117057461817e+00
2.063443866905989e-01, 3.483020857192485e+18, 6.983810425736658e-02, 1.534515013801254e+00
2.063443866905989e-01, 3.581014049710691e+18, 6.932010922837933e-02, 1.521734343353949e+00
2.063443866905989e-01, 3.681764235704827e+18, 6.880136842238549e-02, 1.508777717731208e+00
2.063443866905989e-01, 3.785348981920439e+18, 6.828210815780154e-02, 1.495648078277439e+00
2.063443866905989e-01, 3.891848037407842e+18, 6.776255680217234e-02, 1.482348637552930e+00
2.063443866905989e-01, 4.001343394920174e+18, 6.724294445887670e-02, 1.468882880090519e+00
2.063443866905989e-01, 4.113919354039157e+18, 6.672350264987613e-02, 1.455254562401071e+00
2.063443866905989e-01, 4.229662586076408e+18, 6.620446399553509e-02, 1.441467712205566e+00
2.063443866905989e-01, 4.348662200801200e+18, 6.568606189255038e-02, 1.427526626874180e+00
2.063443866905989e-01, 4.471009815045247e+18, 6.516853019103840e-02, 1.413435871056006e+00
2.063443866905989e-01, 4.596799623237653e+18, 6.465210287183133e-02, 1.399200273486264e+00
2.063443866905989e-01, 4.726128469924637e+18, 6.413701372502630e-02, 1.384824922961212e+00
2.063443866905989e-01, 4.859095924329262e+18, 6.362349603082770e-02, 1.370315163474731e+00
2.063443866905989e-01, 4.995804357008847e+18, 6.311178224370230e-02, 1.355676588514241e+00
2.063443866905989e-01, 5.136359018669451e+18, 6.260210368084669e-02, 1.340915034517414e+00
2.063443866905989e-01, 5.280868121197427e+18, 6.209469021594320e-02, 1.326036573495351e+00
2.063443866905989e-01, 5.429442920970727e+18, 6.158976997914353e-02, 1.311047504831781e+00
2.063443866905989e-01, 5.582197804514550e+18, 6.108756906418392e-02, 1.295954346272080e+00
